INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
000905.SH	600516.SH	20260513	4025970368	70	2818179258	1	0.1445	5.68
000905.SH	600511.SH	20260513	754502998	50	377251499	1	0.097	28.47
000905.SH	600499.SH	20260513	1917856391	60	1150713835	1	0.1924	18.52
000905.SH	600498.SH	20260513	1361267156	60	816760294	1	0.4351	59.01
000905.SH	600497.SH	20260513	5040380483	60	3024228290	1	0.2787	10.21
000905.SH	600487.SH	20260513	2466734657	80	1973387726	1	1.3378	75.1
000905.SH	600486.SH	20260513	405398884	60	243239330	1	0.1452	66.11
000905.SH	600483.SH	20260513	2780137800	40	1112055120	1	0.1035	10.31
000905.SH	600435.SH	20260513	1511327873	70	1057929511	1	0.141	14.77
000905.SH	600392.SH	20260513	1752826570	80	1402261256	1	0.3289	25.98
000905.SH	600801.SH	20260513	1344275649	50	672137825	1	0.1297	21.38
000905.SH	600390.SH	20260513	4498065459	50	2249032730	1	0.1074	5.29
000905.SH	600380.SH	20260513	1829453386	60	1097672032	1	0.1088	10.98
000905.SH	600378.SH	20260513	1289999620	40	515999848	1	0.1551	33.3
000905.SH	600369.SH	20260513	6645109124	60	3987065474	1	0.1544	4.29
000905.SH	600363.SH	20260513	450888450	80	360710760	1	0.1507	46.28
000905.SH	600352.SH	20260513	3253331860	80	2602665488	1	0.2932	12.48
000905.SH	600348.SH	20260513	3607500000	50	1803750000	1	0.1599	9.82
000905.SH	600339.SH	20260513	5583147471	30	1674944241	1	0.0588	3.89
000905.SH	600332.SH	20260513	1405890949	50	702945475	1	0.1457	22.96
000905.SH	600329.SH	20260513	570094356	50	285047178	1	0.1112	43.23
000905.SH	600316.SH	20260513	717114512	60	430268707	1	0.1329	34.22
000905.SH	600312.SH	20260513	1356921309	60	814152785	1	0.1656	22.54
000905.SH	600299.SH	20260513	3079779257	13	400371303	1	0.0463	12.8
000905.SH	600536.SH	20260513	933786584	60	560271950	1	0.2103	41.59
000905.SH	600546.SH	20260513	1982456140	50	991228070	1	0.1249	13.96
000905.SH	600549.SH	20260513	1587585826	70	1111310078	1	0.5802	57.84
000905.SH	600562.SH	20260513	1241857840	40	496743136	1	0.1264	28.18
000905.SH	600765.SH	20260513	1575492153	70	1102844507	1	0.1629	16.36
000905.SH	600764.SH	20260513	710629386	40	284251754	1	0.0619	24.11
