code	kline_time	open	high	low	close	volume	amount
301013.SZ	2026-04-10 11:03:00	22.77	22.77	22.74	22.75	6000	136505
301013.SZ	2026-04-10 11:04:00	22.74	22.77	22.74	22.77	46400	1055645
301013.SZ	2026-04-10 11:05:00	22.78	22.78	22.76	22.77	10300	234498
301013.SZ	2026-04-10 11:06:00	22.77	22.77	22.75	22.76	9200	209356
301013.SZ	2026-04-10 11:07:00	22.76	22.78	22.75	22.75	5100	116121
301013.SZ	2026-04-10 11:08:00	22.75	22.76	22.73	22.73	13700	311638
301013.SZ	2026-04-10 11:09:00	22.73	22.74	22.7	22.72	16100	365698
301013.SZ	2026-04-10 11:10:00	22.7	22.72	22.69	22.72	31500	715072
301013.SZ	2026-04-10 11:11:00	22.72	22.74	22.7	22.74	23100	524653
301013.SZ	2026-04-10 11:12:00	22.74	22.74	22.7	22.72	6900	156714
301013.SZ	2026-04-10 11:13:00	22.71	22.73	22.71	22.73	20400	463522
301013.SZ	2026-04-10 11:14:00	22.73	22.73	22.71	22.72	21400	486245
301013.SZ	2026-04-10 11:15:00	22.71	22.72	22.7	22.72	7900	179433
301013.SZ	2026-04-10 11:16:00	22.72	22.73	22.71	22.73	5400	122700
301013.SZ	2026-04-10 11:17:00	22.73	22.73	22.71	22.72	7500	170405
301013.SZ	2026-04-10 11:18:00	22.71	22.72	22.71	22.72	7600	172598
301013.SZ	2026-04-10 11:19:00	22.72	22.72	22.7	22.72	3100	70384
301013.SZ	2026-04-10 11:20:00	22.72	22.74	22.72	22.74	5400	122729
301013.SZ	2026-04-10 11:21:00	22.74	22.75	22.72	22.72	8600	195573
301013.SZ	2026-04-10 11:22:00	22.72	22.74	22.7	22.74	29700	674775
301013.SZ	2026-04-10 11:23:00	22.74	22.74	22.73	22.74	3500	79581
301013.SZ	2026-04-10 11:24:00	22.74	22.76	22.74	22.76	7200	163745
301013.SZ	2026-04-10 11:25:00	22.76	22.76	22.73	22.73	2200	50049
301013.SZ	2026-04-10 11:26:00	22.73	22.73	22.72	22.72	8800	200018
301013.SZ	2026-04-10 11:27:00	22.72	22.72	22.66	22.68	25200	571969
301013.SZ	2026-04-10 11:28:00	22.66	22.67	22.66	22.66	5500	124646
301013.SZ	2026-04-10 11:29:00	22.66	22.67	22.65	22.66	8300	188132
301013.SZ	2026-04-10 13:00:00	22.66	22.72	22.66	22.68	27800	630585
301013.SZ	2026-04-10 13:01:00	22.68	22.72	22.68	22.72	6800	154392
301013.SZ	2026-04-10 13:02:00	22.72	22.72	22.68	22.69	10200	231578
301013.SZ	2026-04-10 13:03:00	22.69	22.69	22.66	22.67	23000	521442
301013.SZ	2026-04-10 13:04:00	22.68	22.69	22.67	22.68	18600	421848
301013.SZ	2026-04-10 13:05:00	22.68	22.68	22.66	22.67	9300	210855
301013.SZ	2026-04-10 13:06:00	22.67	22.69	22.66	22.68	8700	197276
301013.SZ	2026-04-10 13:07:00	22.68	22.69	22.68	22.69	6400	145153
301013.SZ	2026-04-10 13:08:00	22.69	22.69	22.68	22.68	19800	449224
301013.SZ	2026-04-10 13:09:00	22.68	22.69	22.67	22.67	14100	319758
301013.SZ	2026-04-10 13:10:00	22.67	22.67	22.62	22.63	39900	903799
301013.SZ	2026-04-10 13:11:00	22.63	22.64	22.61	22.63	34200	773817
301013.SZ	2026-04-10 13:12:00	22.62	22.62	22.61	22.62	16600	375470
301013.SZ	2026-04-10 13:13:00	22.61	22.63	22.61	22.62	14900	337028
301013.SZ	2026-04-10 13:14:00	22.62	22.63	22.62	22.62	9400	212666
301013.SZ	2026-04-10 13:15:00	22.63	22.63	22.62	22.63	11500	260229
301013.SZ	2026-04-10 13:16:00	22.62	22.66	22.62	22.66	9800	221938
301013.SZ	2026-04-10 13:17:00	22.64	22.65	22.62	22.63	24500	554420
301013.SZ	2026-04-10 13:18:00	22.63	22.64	22.62	22.63	9200	208194
301013.SZ	2026-04-10 13:19:00	22.63	22.65	22.63	22.65	34700	785348
301013.SZ	2026-04-10 13:20:00	22.65	22.67	22.64	22.67	14300	323943
301013.SZ	2026-04-10 13:21:00	22.66	22.66	22.61	22.62	38400	868927
301013.SZ	2026-04-10 13:22:00	22.62	22.62	22.6	22.6	58000	1310932
301013.SZ	2026-04-10 13:23:00	22.6	22.62	22.6	22.62	700	15824
301013.SZ	2026-04-10 13:24:00	22.62	22.62	22.6	22.6	6100	137919
301013.SZ	2026-04-10 13:25:00	22.61	22.63	22.6	22.62	6600	149228
301013.SZ	2026-04-10 13:26:00	22.61	22.61	22.6	22.6	8700	196694
301013.SZ	2026-04-10 13:27:00	22.6	22.62	22.6	22.6	4300	97230
301013.SZ	2026-04-10 13:28:00	22.61	22.62	22.6	22.61	10600	239676
301013.SZ	2026-04-10 13:29:00	22.61	22.61	22.59	22.59	31500	711890
301013.SZ	2026-04-10 13:30:00	22.59	22.59	22.56	22.58	30700	693269
301013.SZ	2026-04-10 13:31:00	22.58	22.58	22.57	22.57	18900	426642
301013.SZ	2026-04-10 13:32:00	22.57	22.59	22.57	22.58	11900	268749
301013.SZ	2026-04-10 13:33:00	22.58	22.6	22.58	22.58	28800	650420
301013.SZ	2026-04-10 13:34:00	22.59	22.62	22.58	22.62	42800	966917
301013.SZ	2026-04-10 13:35:00	22.62	22.62	22.6	22.61	7700	174079
301013.SZ	2026-04-10 13:36:00	22.61	22.62	22.6	22.62	6500	146998
301013.SZ	2026-04-10 13:37:00	22.63	22.63	22.63	22.63	9300	210449
301013.SZ	2026-04-10 13:38:00	22.64	22.66	22.64	22.64	35600	805779
301013.SZ	2026-04-10 13:39:00	22.64	22.64	22.63	22.64	3700	83756
301013.SZ	2026-04-10 13:40:00	22.63	22.65	22.62	22.62	60000	1358029
301013.SZ	2026-04-10 13:41:00	22.62	22.65	22.62	22.65	12900	292039
301013.SZ	2026-04-10 13:42:00	22.65	22.65	22.63	22.64	17700	400568
301013.SZ	2026-04-10 13:43:00	22.63	22.65	22.61	22.61	21100	477266
301013.SZ	2026-04-10 13:44:00	22.61	22.63	22.61	22.63	19200	434201
301013.SZ	2026-04-10 13:45:00	22.63	22.64	22.62	22.63	5600	126740
301013.SZ	2026-04-10 13:46:00	22.64	22.65	22.63	22.65	7800	176622
301013.SZ	2026-04-10 13:47:00	22.65	22.66	22.65	22.66	5300	120052
301013.SZ	2026-04-10 13:48:00	22.65	22.66	22.65	22.66	5000	113269
301013.SZ	2026-04-10 13:49:00	22.65	22.66	22.64	22.65	20100	455317
301013.SZ	2026-04-10 13:50:00	22.65	22.67	22.65	22.67	6500	147285
301013.SZ	2026-04-10 13:51:00	22.67	22.67	22.65	22.66	6600	149552
301013.SZ	2026-04-10 13:52:00	22.67	22.67	22.67	22.67	1700	38538
301013.SZ	2026-04-10 13:53:00	22.67	22.67	22.65	22.65	15100	342249
