	INDEX_CODE	CON_CODE	TRADE_DATE	TOTAL_SHARE	FREE_SHARE_RATIO	CALC_SHARE	WEIGHT_FACTOR	WEIGHT	CLOSE
24	000300.SH	000792.SZ	20260512	5291572541		3174943525	1	0.4354	37.05
23	000300.SH	000786.SZ	20260512	1702236042		1021341625	1	0.1016	26.88
22	000300.SH	000776.SZ	20260512	5904049311		2952024656	1	0.2298	21.03
21	000300.SH	000768.SZ	20260512	2781149071		1390574536	1	0.1315	25.55
73	000300.SH	002938.SZ	20260512	2318051016		695415305	1	0.2041	79.3
75	000300.SH	300014.SZ	20260512	2074113673		1244468204	1	0.3137	68.09
148	000300.SH	600346.SH	20260512	7039099786		2111729936	1	0.1767	22.61
130	000300.SH	600061.SH	20260512	6393983207		2557593283	1	0.0646	6.82
128	000300.SH	600048.SH	20260512	11970443418		7182266051	1	0.176	6.62
127	000300.SH	600039.SH	20260512	8695590645		2608677194	1	0.0773	8.0
126	000300.SH	600036.SH	20260512	20628944429		12377366657	1	1.7364	37.9
125	000300.SH	600031.SH	20260512	8474390037		5932073026	1	0.469	21.36
124	000300.SH	600030.SH	20260512	12200469974		9760375979	1	0.9834	27.22
123	000300.SH	600029.SH	20260512	13476923269		5390769308	1	0.1117	5.6
122	000300.SH	600028.SH	20260512	97142913622		14571437043	1	0.2805	5.2
121	000300.SH	600027.SH	20260512	9894540584		3957816234	1	0.0781	5.33
120	000300.SH	600026.SH	20260512	4169220839		1667688336	1	0.1367	22.15
119	000300.SH	600025.SH	20260512	18631094257		1863109426	1	0.0663	9.62
118	000300.SH	600023.SH	20260512	13408732749		4022619825	1	0.0889	5.97
117	000300.SH	600019.SH	20260512	21782084749		8712833900	1	0.2074	6.43
116	000300.SH	600018.SH	20260512	23281365262		2793763831	1	0.0532	5.14
115	000300.SH	600016.SH	20260512	35462123213		24823486249	1	0.3381	3.68
114	000300.SH	600015.SH	20260512	15914928468		6365971387	1	0.1551	6.58
129	000300.SH	600050.SH	20260512	31264425327		15632212664	1	0.2685	4.64
131	000300.SH	600066.SH	20260512	2213939223		1328363534	1	0.1762	35.83
76	000300.SH	300015.SZ	20260512	9325396670		4662698335	1	0.1823	10.56
132	000300.SH	600085.SH	20260512	1371470262		685735131	1	0.0713	28.07
147	000300.SH	600309.SH	20260512	3130471626		1878282976	1	0.5791	83.29
146	000300.SH	600276.SH	20260512	6379002274		4465301592	1	0.9274	56.11
145	000300.SH	600233.SH	20260512	3422539846		1711269923	1	0.1334	21.06
144	000300.SH	600219.SH	20260512	11613670848		6968202509	1	0.1416	5.49
143	000300.SH	600196.SH	20260512	2118488825		1271093295	1	0.1191	25.32
142	000300.SH	600188.SH	20260512	5961980544		1788594163	1	0.1393	21.04
141	000300.SH	600183.SH	20260512	2429119230		1214559615	1	0.3849	85.62
140	000300.SH	600176.SH	20260512	4003136728		2401882037	1	0.3363	37.82
139	000300.SH	600161.SH	20260512	1977371446		988685723	1	0.0525	14.34
138	000300.SH	600160.SH	20260512	2699746081		1349873041	1	0.1757	35.16
137	000300.SH	600150.SH	20260512	7525621288		4515372773	1	0.6769	40.5
136	000300.SH	600115.SH	20260512	17024964893		8512482447	1	0.1399	4.44
